fast,slow,atr,total_return,total_trades,win_rate,final_equity
7,50,0.003,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.005,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.008,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.01,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.015,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.02,0.18537293765292007,5,0.6,1.18537293765292
15,50,0.0,0.18301760259037825,4,0.75,1.1830176025903782
15,50,0.001,0.18301760259037825,4,0.75,1.1830176025903782
15,50,0.002,0.18301760259037825,4,0.75,1.1830176025903782
15,50,0.003,0.18301760259037825,4,0.75,1.1830176025903782
15,50,0.005,0.18301760259037825,4,0.75,1.1830176025903782
15,50,0.008,0.18301760259037825,4,0.75,1.1830176025903782
